country,country_code,indicator,indicator_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mauritius,MUS,unemployment,SL.UEM.TOTL.NE.ZS,9.14,9.14,8.205,5.904,8.337,9.524,9.04,8.475,7.17,7.257,7.654,7.447,7.472,7.322,7.467,7.41,6.814,6.752,6.426,6.331,8.626,7.719,6.322,5.571,5.213
Mauritius,MUS,life_exp,SP.DYN.LE00.IN,71.66341463,71.76585366,71.96585366,72.11707317,72.26585366,72.43219512,72.43219512,72.57073171,72.57073171,72.88243902,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366,74.17707317,73.6802439,73.51463415,73.41219512,73.41219512
Mauritius,MUS,pov_hd_count,SI.POV.NAHC,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,10.4,10.4,10.4,10.4,10.4,10.4,8.4,8.4
Mauritius,MUS,population,SP.POP.TOTL,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1248647,1245779
Mauritius,MUS,FDI,BX.KLT.DINV.WD.GD.ZS,5.62071803,-0.591895011,0.653687021,1.062459794,0.208397536,0.635284471,1.495690536,4.11677685,3.729591754,2.770579487,4.23808595,3.710750643,4.978044111,2.359297779,3.443274944,1.779735453,2.968912881,3.45396863,3.078791712,3.032233718,1.942468625,2.241805527,4.219934124,5.399631304,4.560734593
Mozambique,MOZ,GDP,NY.GDP.MKTP.KD,5210292404,5879902616,6448401314,6913827632,7481086790,7953294767,8741520167,9410189984,10057425621,10653727557,11365367724,12176179698,13149604768,14013719723,15093136077,16208985770,16970320250,17418032490,18025039082,18442825952,18217911540,18651030678,19465045725,20532020331,20973160981
Mozambique,MOZ,inflation,NY.GDP.DEFL.KD.ZG,11.61555287,14.78207109,9.831877435,3.640147318,5.794264605,7.331047983,7.46134454,7.436278404,5.152804075,1.471373232,7.645227987,2.34836229,3.175234574,2.601236269,1.085870896,7.059950335,12.16089129,7.978012402,3.795118615,4.677645347,3.171661068,4.550565208,9.1516142,5.090311075,6.464897462
Mozambique,MOZ,scl_enrol,SE.TER.ENRR,0.613489985,0.602580011,0.682079971,0.928529978,1.155509949,1.432029963,2.12770009,3.039469957,3.519399881,3.821460009,4.60293329,4.903703492,5.199513734,5.593447557,6.250491325,6.731817177,7.341973041,7.245730992,7.463051042,7.463051042,7.463051042,7.463051042,7.463051042,7.463051042,7.463051042
Mozambique,MOZ,unemployment,SL.UEM.TOTL.NE.ZS,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,3.426,6.789,6.789,6.789
Mozambique,MOZ,life_exp,SP.DYN.LE00.IN,49.476,50.259,50.879,51.383,51.855,52.322,52.748,53.255,53.799,54.4,55.04,55.733,56.46,57.189,57.965,58.711,59.455,60.148,60.79,61.306,61.39,60.268,63.011,63.611,63.611
